2017/07/26 19:12:33 [release] Leaf 1.1.2 starting up
2017/07/26 19:12:33 [debug  ] Gate Module Run
2017/07/26 19:14:57 [debug  ] read message: EOF
2017/07/26 19:14:57 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:50606->127.0.0.1:8890: use of closed network connection
2017/07/26 19:19:54 [error  ] newGSConn io.ReadFull error1:EOF
2017/07/26 19:19:54 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:50705: use of closed network connection
2017/07/26 19:22:08 [debug  ] read message: EOF
2017/07/26 19:22:08 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:50787->127.0.0.1:8890: use of closed network connection
2017/07/26 20:55:20 [debug  ] read message: EOF
2017/07/26 20:55:20 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:55068->127.0.0.1:8890: use of closed network connection
2017/07/26 21:55:35 [debug  ] read message: EOF
2017/07/26 21:55:35 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56597->127.0.0.1:8890: use of closed network connection
2017/07/26 21:59:50 [debug  ] read message: EOF
2017/07/26 21:59:50 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56677->127.0.0.1:8890: use of closed network connection
2017/07/26 22:26:32 [debug  ] read message: EOF
2017/07/26 22:26:32 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57461->127.0.0.1:8890: use of closed network connection
2017/07/26 22:38:02 [debug  ] read message: EOF
2017/07/26 22:38:02 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57798->127.0.0.1:8890: use of closed network connection
2017/07/26 22:39:58 [error  ] newGSConn io.ReadFull error1:EOF
2017/07/26 22:39:58 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:57828: use of closed network connection
2017/07/26 22:46:24 [error  ] newGSConn io.ReadFull error1:EOF
2017/07/26 22:46:24 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:57987: use of closed network connection
2017/07/26 22:55:46 [debug  ] read message: EOF
2017/07/26 22:55:46 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58184->127.0.0.1:8890: use of closed network connection
2017/07/26 22:57:01 [error  ] newGSConn io.ReadFull error1:EOF
2017/07/26 22:57:01 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:58200: use of closed network connection
2017/07/26 22:58:57 [debug  ] read message: EOF
2017/07/26 22:58:57 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58248->127.0.0.1:8890: use of closed network connection
2017/07/26 23:07:38 [debug  ] read message: EOF
2017/07/26 23:07:38 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58441->127.0.0.1:8890: use of closed network connection
2017/07/26 23:09:07 [debug  ] read message: EOF
2017/07/26 23:09:07 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58451->127.0.0.1:8890: use of closed network connection
2017/07/26 23:09:50 [debug  ] read message: EOF
2017/07/26 23:09:50 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58503->127.0.0.1:8890: use of closed network connection
2017/07/26 23:10:46 [debug  ] read message: EOF
2017/07/26 23:10:46 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58526->127.0.0.1:8890: use of closed network connection
2017/07/26 23:12:15 [debug  ] read message: EOF
