2017/07/07 00:04:36 [release] Leaf 1.1.2 starting up
2017/07/07 00:04:36 [debug  ] Gate Module Run
2017/07/07 00:05:33 [debug  ] read message: EOF
2017/07/07 00:05:33 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:50037->127.0.0.1:8890: use of closed network connection
2017/07/07 16:34:09 [debug  ] read message: EOF
2017/07/07 16:34:09 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:65422->127.0.0.1:8890: use of closed network connection
2017/07/07 18:09:31 [debug  ] read message: EOF
2017/07/07 18:09:31 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:52418->127.0.0.1:8890: use of closed network connection
2017/07/07 18:10:10 [debug  ] read message: EOF
2017/07/07 18:10:10 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:52442->127.0.0.1:8890: use of closed network connection
2017/07/07 19:28:45 [debug  ] read message: EOF
2017/07/07 19:28:45 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:55102->127.0.0.1:8890: use of closed network connection
2017/07/07 19:30:02 [debug  ] read message: EOF
2017/07/07 19:30:02 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:55156->127.0.0.1:8890: use of closed network connection
2017/07/07 19:31:24 [error  ] newGSConn io.ReadFull error1:EOF
2017/07/07 19:31:24 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:55209: use of closed network connection
2017/07/07 19:36:05 [debug  ] read message: EOF
2017/07/07 19:36:05 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:55330->127.0.0.1:8890: use of closed network connection
2017/07/07 19:48:57 [debug  ] read message: EOF
2017/07/07 19:48:57 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:55809->127.0.0.1:8890: use of closed network connection
2017/07/07 19:50:52 [debug  ] read message: EOF
2017/07/07 19:50:52 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:55863->127.0.0.1:8890: use of closed network connection
2017/07/07 19:52:26 [debug  ] read message: EOF
2017/07/07 19:52:26 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:55928->127.0.0.1:8890: use of closed network connection
2017/07/07 19:52:50 [error  ] newGSConn io.ReadFull error1:EOF
2017/07/07 19:52:50 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:55961: use of closed network connection
2017/07/07 19:53:06 [debug  ] read message: EOF
2017/07/07 19:53:06 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:55975->127.0.0.1:8890: use of closed network connection
2017/07/07 19:53:48 [error  ] newGSConn io.ReadFull error1:EOF
2017/07/07 19:53:48 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:56023: use of closed network connection
2017/07/07 19:55:07 [debug  ] read message: EOF
2017/07/07 19:55:07 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56048->127.0.0.1:8890: use of closed network connection
2017/07/07 19:56:26 [error  ] newGSConn io.ReadFull error1:EOF
2017/07/07 19:56:26 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:56101: use of closed network connection
2017/07/07 19:57:19 [error  ] newGSConn io.ReadFull error1:EOF
2017/07/07 19:57:19 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:56152: use of closed network connection
2017/07/07 19:59:10 [debug  ] read message: EOF
2017/07/07 19:59:10 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56281->127.0.0.1:8890: use of closed network connection
2017/07/07 20:17:29 [error  ] newGSConn io.ReadFull error1:EOF
2017/07/07 20:17:29 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:56820: use of closed network connection
2017/07/07 20:20:19 [debug  ] read message: EOF
2017/07/07 20:20:19 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57097->127.0.0.1:8890: use of closed network connection
2017/07/07 20:24:48 [debug  ] read message: EOF
2017/07/07 20:24:48 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57257->127.0.0.1:8890: use of closed network connection
2017/07/07 20:33:43 [debug  ] read message: EOF
