2017/06/17 00:57:04 [release] Leaf 1.1.2 starting up
2017/06/17 00:57:04 [debug  ] Gate Module Run
2017/06/17 00:58:00 [debug  ] read message: EOF
2017/06/17 00:58:00 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:54462->127.0.0.1:8890: use of closed network connection
2017/06/17 00:58:21 [debug  ] read message: EOF
2017/06/17 00:58:21 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:54508->127.0.0.1:8890: use of closed network connection
2017/06/17 01:01:12 [debug  ] read message: EOF
2017/06/17 01:01:12 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:54590->127.0.0.1:8890: use of closed network connection
2017/06/17 01:02:50 [debug  ] read message: EOF
2017/06/17 01:02:50 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:54633->127.0.0.1:8890: use of closed network connection
2017/06/17 01:04:14 [debug  ] read message: EOF
2017/06/17 01:04:14 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:54697->127.0.0.1:8890: use of closed network connection
2017/06/17 01:05:19 [debug  ] read message: EOF
2017/06/17 01:05:19 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:54764->127.0.0.1:8890: use of closed network connection
2017/06/17 01:05:35 [debug  ] read message: EOF
2017/06/17 01:05:35 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:54829->127.0.0.1:8890: use of closed network connection
2017/06/17 01:07:38 [debug  ] read message: EOF
2017/06/17 01:07:38 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:54857->127.0.0.1:8890: use of closed network connection
2017/06/17 01:11:40 [debug  ] read message: EOF
2017/06/17 01:11:40 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:55027->127.0.0.1:8890: use of closed network connection
2017/06/17 12:50:23 [debug  ] read message: EOF
2017/06/17 12:50:23 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:50066->127.0.0.1:8890: use of closed network connection
2017/06/17 12:50:44 [debug  ] read message: EOF
2017/06/17 12:50:44 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:50239->127.0.0.1:8890: use of closed network connection
2017/06/17 12:53:52 [debug  ] read message: EOF
2017/06/17 12:53:52 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:50262->127.0.0.1:8890: use of closed network connection
2017/06/17 12:54:29 [debug  ] read message: EOF
2017/06/17 12:54:29 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:50393->127.0.0.1:8890: use of closed network connection
2017/06/17 13:33:29 [debug  ] read message: EOF
2017/06/17 13:33:29 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:51952->127.0.0.1:8890: use of closed network connection
2017/06/17 13:39:46 [debug  ] read message: EOF
2017/06/17 13:39:46 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:52293->127.0.0.1:8890: use of closed network connection
2017/06/17 15:18:39 [debug  ] read message: EOF
2017/06/17 15:18:39 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56506->127.0.0.1:8890: use of closed network connection
2017/06/17 15:18:55 [debug  ] read message: EOF
2017/06/17 15:18:55 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56647->127.0.0.1:8890: use of closed network connection
2017/06/17 15:24:56 [debug  ] read message: EOF
2017/06/17 15:24:56 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56851->127.0.0.1:8890: use of closed network connection
2017/06/17 15:31:46 [debug  ] read message: EOF
2017/06/17 15:31:46 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57237->127.0.0.1:8890: use of closed network connection
2017/06/17 15:35:01 [debug  ] read message: EOF
