2017/06/12 17:03:57 [release] Leaf 1.1.2 starting up
2017/06/12 17:03:57 [debug  ] Gate Module Run
2017/06/12 18:30:02 [release] Leaf closing down (signal: interrupt)
2017/06/12 19:42:01 [release] Leaf 1.1.2 starting up
2017/06/12 19:42:01 [debug  ] Gate Module Run
2017/06/12 19:45:40 [debug  ] read message: EOF
2017/06/12 19:45:40 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:51246->127.0.0.1:8890: use of closed network connection
2017/06/12 19:46:35 [debug  ] read message: EOF
2017/06/12 19:46:35 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:51277->127.0.0.1:8890: use of closed network connection
2017/06/12 19:47:40 [debug  ] read message: EOF
2017/06/12 19:47:40 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:51311->127.0.0.1:8890: use of closed network connection
2017/06/12 20:55:45 [debug  ] read message: EOF
2017/06/12 20:55:45 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:52802->127.0.0.1:8890: use of closed network connection
2017/06/12 20:55:53 [debug  ] read message: EOF
2017/06/12 20:55:53 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:52828->127.0.0.1:8890: use of closed network connection
2017/06/12 20:56:28 [debug  ] read message: EOF
2017/06/12 20:56:28 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:52844->127.0.0.1:8890: use of closed network connection
2017/06/12 20:57:06 [debug  ] read message: EOF
2017/06/12 20:57:06 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:52882->127.0.0.1:8890: use of closed network connection
2017/06/12 21:04:35 [debug  ] read message: EOF
2017/06/12 21:04:35 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:53004->127.0.0.1:8890: use of closed network connection
2017/06/12 21:05:55 [debug  ] read message: EOF
2017/06/12 21:05:55 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:53052->127.0.0.1:8890: use of closed network connection
2017/06/12 21:07:12 [debug  ] read message: EOF
2017/06/12 21:07:12 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:53060->127.0.0.1:8890: use of closed network connection
2017/06/12 21:10:10 [debug  ] read message: EOF
2017/06/12 21:10:10 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:53125->127.0.0.1:8890: use of closed network connection
2017/06/12 21:11:56 [debug  ] read message: EOF
2017/06/12 21:11:56 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:53161->127.0.0.1:8890: use of closed network connection
2017/06/12 21:12:10 [debug  ] read message: EOF
2017/06/12 21:12:10 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:53183->127.0.0.1:8890: use of closed network connection
2017/06/12 23:40:12 [debug  ] read message: EOF
2017/06/12 23:40:12 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56720->127.0.0.1:8890: use of closed network connection
2017/06/12 23:40:38 [debug  ] read message: EOF
2017/06/12 23:40:38 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56772->127.0.0.1:8890: use of closed network connection
2017/06/12 23:42:03 [debug  ] read message: EOF
2017/06/12 23:42:03 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56803->127.0.0.1:8890: use of closed network connection
2017/06/12 23:43:24 [debug  ] read message: EOF
2017/06/12 23:43:24 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56840->127.0.0.1:8890: use of closed network connection
2017/06/12 23:44:51 [debug  ] read message: EOF
2017/06/12 23:44:51 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56863->127.0.0.1:8890: use of closed network connection
2017/06/12 23:45:48 [debug  ] read message: EOF
2017/06/12 23:45:48 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56892->127.0.0.1:8890: use of closed network connection
2017/06/12 23:49:04 [debug  ] read message: EOF
2017/06/12 23:49:04 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56938->127.0.0.1:8890: use of closed network connection
2017/06/12 23:49:43 [debug  ] read message: EOF
2017/06/12 23:49:43 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56978->127.0.0.1:8890: use of closed network connection
2017/06/12 23:50:38 [debug  ] read message: EOF
2017/06/12 23:50:38 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56999->127.0.0.1:8890: use of closed network connection
2017/06/12 23:52:12 [debug  ] read message: EOF
2017/06/12 23:52:12 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57032->127.0.0.1:8890: use of closed network connection
2017/06/12 23:52:44 [debug  ] read message: EOF
2017/06/12 23:52:44 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57056->127.0.0.1:8890: use of closed network connection
2017/06/12 23:55:04 [debug  ] read message: EOF
2017/06/12 23:55:04 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57091->127.0.0.1:8890: use of closed network connection
2017/06/12 23:57:48 [debug  ] read message: EOF
2017/06/12 23:57:48 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57168->127.0.0.1:8890: use of closed network connection
2017/06/12 23:59:04 [debug  ] read message: EOF
2017/06/12 23:59:04 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57179->127.0.0.1:8890: use of closed network connection
2017/06/13 00:02:24 [debug  ] read message: EOF
2017/06/13 00:02:24 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57250->127.0.0.1:8890: use of closed network connection
2017/06/13 00:04:26 [debug  ] read message: EOF
2017/06/13 00:04:26 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57394->127.0.0.1:8890: use of closed network connection
2017/06/13 00:08:22 [debug  ] read message: EOF
2017/06/13 00:08:22 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57404->127.0.0.1:8890: use of closed network connection
2017/06/13 00:09:00 [debug  ] read message: EOF
2017/06/13 00:09:00 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57785->127.0.0.1:8890: use of closed network connection
2017/06/13 00:11:00 [debug  ] read message: EOF
2017/06/13 00:11:00 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57981->127.0.0.1:8890: use of closed network connection
2017/06/13 00:11:18 [debug  ] read message: EOF
2017/06/13 00:11:18 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57989->127.0.0.1:8890: use of closed network connection
2017/06/13 00:14:25 [debug  ] read message: EOF
2017/06/13 00:14:25 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58369->127.0.0.1:8890: use of closed network connection
2017/06/13 00:15:14 [debug  ] read message: EOF
2017/06/13 00:15:14 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58436->127.0.0.1:8890: use of closed network connection
2017/06/13 00:18:54 [debug  ] read message: EOF
2017/06/13 00:18:54 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58651->127.0.0.1:8890: use of closed network connection
2017/06/13 00:20:34 [debug  ] read message: EOF
2017/06/13 00:20:34 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58710->127.0.0.1:8890: use of closed network connection
2017/06/13 00:22:59 [debug  ] read message: EOF
2017/06/13 00:22:59 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58826->127.0.0.1:8890: use of closed network connection
2017/06/13 00:46:32 [debug  ] read message: EOF
2017/06/13 00:46:32 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:59668->127.0.0.1:8890: use of closed network connection
2017/06/13 00:47:54 [debug  ] read message: EOF
2017/06/13 00:47:54 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:60499->127.0.0.1:8890: use of closed network connection
2017/06/13 00:51:49 [debug  ] read message: EOF
2017/06/13 00:51:49 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:60691->127.0.0.1:8890: use of closed network connection
2017/06/13 00:57:10 [debug  ] read message: EOF
