2017/06/29 15:23:15 [release] Leaf 1.1.2 starting up
2017/06/29 15:23:15 [debug  ] Gate Module Run
2017/06/29 15:24:07 [debug  ] read message: EOF
2017/06/29 15:24:07 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:60424->127.0.0.1:8890: use of closed network connection
2017/06/29 17:15:24 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/29 17:15:24 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:57192: use of closed network connection
2017/06/29 17:17:16 [debug  ] read message: EOF
2017/06/29 17:17:16 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57998->127.0.0.1:8890: use of closed network connection
2017/06/29 17:49:24 [debug  ] read message: EOF
2017/06/29 17:49:24 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56518->127.0.0.1:8890: use of closed network connection
2017/06/29 17:49:34 [debug  ] read message: EOF
2017/06/29 17:49:34 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56706->127.0.0.1:8890: use of closed network connection
2017/06/29 17:50:16 [debug  ] read message: EOF
2017/06/29 17:50:16 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:56780->127.0.0.1:8890: use of closed network connection
2017/06/29 17:50:25 [debug  ] read message: EOF
2017/06/29 17:50:25 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57112->127.0.0.1:8890: use of closed network connection
2017/06/29 17:54:58 [debug  ] read message: EOF
2017/06/29 17:54:58 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58224->127.0.0.1:8890: use of closed network connection
2017/06/29 17:55:17 [debug  ] read message: EOF
2017/06/29 17:55:17 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:59247->127.0.0.1:8890: use of closed network connection
2017/06/29 17:56:52 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/29 17:56:52 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:59922: use of closed network connection
2017/06/29 17:58:47 [debug  ] read message: EOF
2017/06/29 17:58:47 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:60857->127.0.0.1:8890: use of closed network connection
2017/06/29 17:59:22 [debug  ] read message: EOF
2017/06/29 17:59:22 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:61006->127.0.0.1:8890: use of closed network connection
2017/06/29 17:59:55 [debug  ] read message: EOF
2017/06/29 17:59:55 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:61273->127.0.0.1:8890: use of closed network connection
2017/06/29 18:04:23 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/29 18:04:23 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:63208: use of closed network connection
2017/06/29 18:09:00 [debug  ] read message: EOF
2017/06/29 18:09:00 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:49180->127.0.0.1:8890: use of closed network connection
2017/06/29 18:09:30 [debug  ] read message: EOF
2017/06/29 18:09:30 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:49284->127.0.0.1:8890: use of closed network connection
2017/06/29 18:12:22 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/29 18:12:22 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:49801: use of closed network connection
2017/06/29 18:19:14 [debug  ] read message: EOF
2017/06/29 18:19:14 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:53581->127.0.0.1:8890: use of closed network connection
2017/06/29 18:22:09 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/29 18:22:09 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:54083: use of closed network connection
2017/06/29 18:25:05 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/29 18:25:05 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:55289: use of closed network connection
2017/06/29 18:27:18 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/29 18:27:18 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:56841: use of closed network connection
2017/06/29 18:49:50 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/29 18:49:50 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:50982: use of closed network connection
2017/06/29 19:13:27 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/29 19:13:27 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:64535: use of closed network connection
2017/06/29 19:15:27 [debug  ] read message: EOF
2017/06/29 19:15:27 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:49497->127.0.0.1:8890: use of closed network connection
2017/06/29 19:16:46 [debug  ] read message: EOF
2017/06/29 19:16:46 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:50354->127.0.0.1:8890: use of closed network connection
2017/06/29 19:19:13 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/29 19:19:13 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:51505: use of closed network connection
2017/06/29 19:20:19 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/29 19:20:19 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:51896: use of closed network connection
2017/06/29 19:21:35 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/29 19:21:35 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:52705: use of closed network connection
2017/06/29 19:24:05 [debug  ] read message: EOF
2017/06/29 19:24:05 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:54101->127.0.0.1:8890: use of closed network connection
2017/06/29 22:57:12 [release] Leaf closing down (signal: interrupt)
