2017/04/26 05:59:04 [release] Leaf 1.1.2 starting up
2017/04/26 05:59:04 [debug  ] Game Module Run	111
2017/04/26 05:59:04 [debug  ] Gate Module Run
2017/04/26 21:31:09 [debug  ] recv Msg:[97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97]
2017/04/26 21:31:26 [debug  ] read message: EOF
2017/04/26 21:31:26 [debug  ] gs read message: read tcp 127.0.0.1:63153->127.0.0.1:8890: use of closed network connection
2017/04/26 21:33:51 [debug  ] recv Msg:[97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97]
2017/04/26 21:33:53 [debug  ] read message: EOF
2017/04/26 21:33:53 [debug  ] gs read message: read tcp 127.0.0.1:63208->127.0.0.1:8890: use of closed network connection
2017/04/26 21:36:45 [debug  ] recv Msg:[97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97]
2017/04/26 21:36:47 [debug  ] read message: EOF
2017/04/26 21:36:47 [debug  ] gs read message: read tcp 127.0.0.1:63371->127.0.0.1:8890: use of closed network connection
2017/04/26 21:40:23 [debug  ] recv Msg:[97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97]
2017/04/26 21:40:33 [debug  ] read message: EOF
2017/04/26 21:40:33 [debug  ] gs read message: read tcp 127.0.0.1:63442->127.0.0.1:8890: use of closed network connection
2017/04/26 21:40:46 [debug  ] recv Msg:[97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97]
2017/04/26 21:40:52 [debug  ] read message: EOF
2017/04/26 21:40:52 [debug  ] gs read message: read tcp 127.0.0.1:63458->127.0.0.1:8890: use of closed network connection
2017/04/26 21:40:58 [debug  ] recv Msg:[97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97 97]
2017/04/26 21:40:59 [debug  ] read message: EOF
2017/04/26 21:40:59 [debug  ] gs read message: read tcp 127.0.0.1:63464->127.0.0.1:8890: use of closed network connection
